date,underlying,volume,open,high,low
07-26 09:51:28:474257,194.6,1,193.67,194.72,193.32
07-26 09:51:29:071065,194.6,1,193.67,194.72,193.32
07-26 09:51:30:043985,194.6,1,193.67,194.72,193.32
07-26 09:51:31:074388,194.5885,1,193.67,194.72,193.32
07-26 09:51:32:054134,194.6,1,193.67,194.72,193.32
07-26 09:51:33:050390,194.6,1,193.67,194.72,193.32
07-26 09:51:34:050133,194.6,1,193.67,194.72,193.32
07-26 09:51:35:058272,194.5781,1,193.67,194.72,193.32
07-26 09:51:36:101758,194.5781,1,193.67,194.72,193.32
07-26 09:51:37:098148,194.57,2,193.67,194.72,193.32
07-26 09:51:38:104010,194.56,1,193.67,194.72,193.32
07-26 09:51:39:072755,194.56,1,193.67,194.72,193.32
07-26 09:51:40:099429,194.5781,7,193.67,194.72,193.32
07-26 09:51:41:079596,194.565,1,193.67,194.72,193.32
07-26 09:51:42:080928,194.58,1,193.67,194.72,193.32
07-26 09:51:43:113800,194.58,1,193.67,194.72,193.32
07-26 09:51:44:095126,194.573,1,193.67,194.72,193.32
07-26 09:51:45:093464,194.59,1,193.67,194.72,193.32
07-26 09:51:46:092112,194.59,1,193.67,194.72,193.32
07-26 09:51:47:092655,194.585,1,193.67,194.72,193.32
07-26 09:51:48:091645,194.5799,4,193.67,194.72,193.32
07-26 09:51:49:094320,194.575,1,193.67,194.72,193.32
07-26 09:51:50:087571,194.575,1,193.67,194.72,193.32
07-26 09:51:51:097775,194.565,3,193.67,194.72,193.32
07-26 09:51:52:098545,194.56,2,193.67,194.72,193.32
07-26 09:51:53:087065,194.57,1,193.67,194.72,193.32
07-26 09:51:54:094027,194.57,1,193.67,194.72,193.32
07-26 09:51:55:094615,194.58,5,193.67,194.72,193.32
07-26 09:51:56:089054,194.525,3,193.67,194.72,193.32
07-26 09:51:57:097171,194.545,2,193.67,194.72,193.32
07-26 09:51:58:088779,194.54,1,193.67,194.72,193.32
07-26 09:51:59:099847,194.54,1,193.67,194.72,193.32
07-26 09:52:00:136479,194.525,1,193.67,194.72,193.32
07-26 09:52:01:143738,194.5211,3,193.67,194.72,193.32
07-26 09:52:02:143782,194.56,1,193.67,194.72,193.32
07-26 09:52:03:148414,194.57,3,193.67,194.72,193.32
07-26 09:52:04:155532,194.555,1,193.67,194.72,193.32
07-26 09:52:05:118865,194.56,1,193.67,194.72,193.32
07-26 09:52:06:124522,194.56,3,193.67,194.72,193.32
07-26 09:52:07:163367,194.5501,2,193.67,194.72,193.32
07-26 09:52:08:171551,194.55,2,193.67,194.72,193.32
07-26 09:52:09:135073,194.5316,2,193.67,194.72,193.32
